Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Almeida, Guilherme; Infante, Ivan; Manna, Liberato; ",Resurfacing halide perovskite nanocrystals,Science,364,6443,833-834,2019,American Association for the Advancement of Science
"Du Fossé, Indy; Ten Brinck, Stephanie; Infante, Ivan; Houtepen, Arjan J; ",Role of surface reduction in the formation of traps in n-doped II–VI semiconductor nanocrystals: How to charge without reducing the surface,Chemistry of Materials,31,12,4575-4583,2019,American Chemical Society
"Quarta, Danila; Imran, Muhammad; Capodilupo, Agostina-Lina; Petralanda, Urko; Van Beek, Bas; De Angelis, Filippo; Manna, Liberato; Infante, Ivan; De Trizio, Luca; Giansante, Carlo; ",Stable ligand coordination at the surface of colloidal CsPbBr3 nanocrystals,The journal of physical chemistry letters,10,13,3715-3726,2019,American Chemical Society
"Zapata, Felipe; Ridder, Lars; Hidding, Johan; Jacob, Christoph R; Infante, Ivan; Visscher, Lucas; ",QMflows: a tool kit for interoperable parallel workflows in quantum chemistry,Journal of chemical information and modeling,59,7,3191-3197,2019,American Chemical Society
"Locardi, Federico; Sartori, Emanuela; Buha, Joka; Zito, Juliette; Prato, Mirko; Pinchetti, Valerio; Zaffalon, Matteo L; Ferretti, Maurizio; Brovelli, Sergio; Infante, Ivan; ",Emissive Bi-doped double perovskite Cs2Ag1–x Na x InCl6 nanocrystals,ACS Energy Letters,4,8,1976-1982,2019,American Chemical Society
"Wang, Mengjiao; Dang, Zhiya; Prato, Mirko; Petralanda, Urko; Infante, Ivan; Shinde, Dipak V; De Trizio, Luca; Manna, Liberato; ",Ruthenium-decorated cobalt selenide nanocrystals for hydrogen evolution,ACS Applied Nano Materials,2,9,5695-5703,2019,American Chemical Society
"Akkerman, Quinten A; Martin-Garcia, Beatriz; Buha, Joka; Almeida, Guilherme; Toso, Stefano; Marras, Sergio; Bonaccorso, Francesco; Petralanda, Urko; Infante, Ivan; Manna, Liberato; ",Ultrathin orthorhombic PbS nanosheets,Chemistry of Materials,31,19,8145-8153,2019,American Chemical Society
"Zhang, Baowei; Goldoni, Luca; Zito, Juliette; Dang, Zhiya; Almeida, Guilherme; Zaccaria, Francesco; De Wit, Jur; Infante, Ivan; De Trizio, Luca; Manna, Liberato; ",Alkyl phosphonic acids deliver CsPbBr3 nanocrystals with high photoluminescence quantum yield and truncated octahedron shape,Chemistry of Materials,31,21,9140-9147,2019,American Chemical Society
"Ten Brinck, Stephanie; Zaccaria, Francesco; Infante, Ivan; ",Defects in lead halide perovskite nanocrystals: analogies and (many) differences with the bulk,ACS Energy Letters,4,11,2739-2747,2019,American Chemical Society
"Boehme, Simon C; Brinck, Stephanie ten; Maes, Jorick; Yazdani, Nuri; Zapata, Felipe; Chen, Kai; Wood, Vanessa; Hodgkiss, Justin M; Hens, Zeger; Geiregat, Pieter; ",Phonon-mediated and weakly size-dependent electron and hole cooling in CsPbBr3 nanocrystals revealed by atomistic simulations and ultrafast spectroscopy,Nano letters,20,3,1819-1829,2020,American Chemical Society
"Toso, Stefano; Akkerman, Quinten A; Martín-García, Beatriz; Prato, Mirko; Zito, Juliette; Infante, Ivan; Dang, Zhiya; Moliterni, Anna; Giannini, Cinzia; Bladt, Eva; ",Nanocrystals of lead chalcohalides: a series of kinetically trapped metastable nanostructures,Journal of the American Chemical Society,142,22,10198-10211,2020,American Chemical Society
"Dhanabalan, Balaji; Leng, Yu-Chen; Biffi, Giulia; Lin, Miao-Ling; Tan, Ping-Heng; Infante, Ivan; Manna, Liberato; Arciniegas, Milena P; Krahne, Roman; ",Directional anisotropy of the vibrational modes in 2D-layered perovskites,ACS nano,14,4,4689-4697,2020,American Chemical Society
